"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"149",12.735299,62.73932,"2329073962",0,61,227,7211,149,-120,269,101,-25,101,-91,664,89,32,31,243,100,243,152
"150",10.238728,62.622856,"2332679193",27,59,231,6952,171,-86,257,125,1,125,-59,418,61,21,36,169,66,161,84
"151",8.639844,60.137833,"2332685198",24,61,234,6943,170,-90,261,121,-2,123,-63,525,65,25,33,193,77,181,89
"152",9.547007,62.061651,"2332692118",-1,59,227,7086,145,-117,262,99,-25,99,-90,353,54,14,42,151,46,151,70
"153",8.8693,60.794201,"2332693711",10,59,228,7039,157,-104,261,110,-15,110,-79,745,99,32,35,279,102,279,149
"154",8.481174,61.451288,"2332699449",-9,57,219,7092,135,-126,261,56,-31,91,-100,596,71,24,32,210,82,184,139
"155",24.744112,70.171367,"2332699624",10,49,181,7522,159,-111,270,118,-24,118,-84,431,54,23,28,158,69,158,91
"156",9.916071,62.324536,"2332705262",0,60,230,7015,145,-115,260,99,-25,99,-88,396,66,17,45,181,54,181,72
"157",9.1543,60.866002,"2332705728",17,60,228,7106,165,-98,264,117,-48,119,-72,611,81,25,38,243,85,230,112
"158",8.009487,62.333606,"2332705985",22,53,223,6497,152,-87,238,-45,43,114,-60,601,72,23,27,205,79,141,194
"159",9.916071,62.324536,"2332706052",0,60,230,7015,145,-115,260,99,-25,99,-88,396,66,17,45,181,54,181,72
"160",11.583461,61.351555,"2332707075",20,64,229,7488,174,-106,279,125,-76,125,-76,712,86,29,33,256,97,256,97
"161",11.613222,61.359263,"2332710809",30,64,228,7538,185,-96,281,136,-66,136,-66,606,75,25,33,221,84,221,84
"162",8.489376,61.445651,"2332711904",4,57,218,7142,149,-113,262,69,-18,105,-87,458,53,19,31,158,64,146,106
"163",9.039998,60.855224,"2332712188",14,60,227,7084,162,-101,262,113,-10,115,-75,669,89,29,36,259,91,252,131
"164",9.49,62.824834,"2332713675",2,54,231,6373,133,-102,235,64,20,93,-77,783,84,35,22,236,117,232,219
"165",8.902098,60.784999,"2332714264",10,59,228,7037,156,-105,261,108,-15,110,-79,747,99,33,35,283,104,279,146
"166",10.291603,60.013154,"2332720455",40,67,240,7340,193,-87,280,57,-30,143,-54,1054,125,51,29,365,169,307,174
"167",8.111949,62.32323,"2332722462",23,54,223,6579,155,-87,241,-45,45,116,-60,724,90,27,30,254,94,161,242
"168",8.859455,61.049061,"2332723098",12,58,223,7104,158,-103,262,111,-12,113,-78,690,87,31,34,257,96,245,137
"169",19.4522,69.694751,"2332724224",4,38,168,6511,124,-100,225,24,20,98,-78,791,101,39,26,278,125,188,215
"170",7.733012,61.461259,"2332729271",-7,56,220,6953,133,-122,256,10,18,90,-96,736,88,28,30,260,94,167,222
"171",8.856302,60.7952,"2332733413",14,59,227,7057,161,-100,261,113,-11,115,-75,722,95,31,35,269,99,267,146
"172",7.509772,62.177185,"2332736248",31,52,222,6406,158,-77,235,-35,52,121,-51,778,95,32,31,270,105,157,263
"173",23.362854,70.02162,"2332739688",22,45,175,7313,164,-95,259,127,37,127,-70,558,61,29,24,179,89,179,129
"174",9.640405,61.178859,"2332741104",7,60,227,7153,155,-110,265,109,-59,109,-83,581,74,25,36,218,81,218,108
"175",8.006019,62.328008,"2332742872",13,53,223,6485,142,-96,238,-54,34,104,-69,648,77,25,26,219,86,152,209
"176",6.700453,60.35857,"2332743812",21,56,235,6434,154,-85,239,-43,41,111,-59,1635,197,64,33,561,196,295,468
"177",9.662315,61.319702,"2332744746",5,60,226,7159,153,-111,265,105,-60,107,-85,648,85,26,38,254,90,245,117
"178",23.020452,69.905523,"2332745711",18,46,175,7472,163,-101,264,125,-15,125,-76,403,48,21,25,140,67,140,87
