"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"116",17.034645,58.678717,"2619116775",69,45,185,6784,203,-41,244,168,-3,168,-18,565,65,30,26,193,91,193,103
"117",13.463635,55.60186,"2619156038",75,48,213,6152,196,-29,224,57,8,163,-6,758,85,40,21,243,140,210,143
"118",17.071593,58.676835,"2619199774",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"119",17.110157,58.667606,"2619205778",70,43,179,6755,201,-39,241,168,-2,168,-17,562,64,30,25,190,91,190,103
"120",17.033935,58.677648,"2619213769",69,45,185,6784,203,-41,244,168,-3,168,-18,565,65,30,26,193,91,193,103
"121",17.02895,58.679506,"2619256778",70,45,186,6792,203,-41,244,168,-2,168,-17,565,65,30,26,193,91,193,103
"122",16.828338,59.03521,"2619274314",65,59,221,7103,212,-57,269,165,-9,165,-27,589,72,31,26,200,95,200,103
"123",17.072114,58.678516,"2619289772",70,44,183,6775,202,-40,243,168,-2,168,-17,559,64,30,25,190,91,190,103
"124",17.109834,58.669269,"2619319770",70,43,179,6755,201,-39,241,168,-2,168,-17,562,64,30,25,190,91,190,103
"125",17.097491,58.66996,"2619338158",70,43,180,6764,202,-39,241,169,-2,169,-16,563,65,30,26,191,91,191,103
"126",17.092856,58.670096,"2619361431",70,43,180,6764,202,-39,241,169,-2,169,-16,563,65,30,26,191,91,191,103
"127",17.098407,58.677097,"2619366147",70,44,181,6767,202,-40,242,168,-2,168,-17,558,64,30,25,188,91,188,103
"128",17.096539,58.670848,"2619378152",70,43,180,6764,202,-39,241,169,-2,169,-16,563,65,30,26,191,91,191,103
"129",17.086612,58.659734,"2619396157",70,43,180,6762,202,-39,241,169,-2,169,-16,563,65,30,25,191,91,191,103
"130",17.083873,58.658575,"2619426140",70,43,180,6762,202,-39,241,169,-2,169,-16,563,65,30,25,191,91,191,103
"131",17.083873,58.658575,"2619431154",70,43,180,6762,202,-39,241,169,-2,169,-16,563,65,30,25,191,91,191,103
